"iSess","iCond","Harm","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","Direction","Speed","Channel","ChanGroup","Hz","Study","Operator","Sex","AgeDays"
"20150701_155408",1,"1F1",2.061818,2.23188,-0.501422,-0.00555,-0.501422,-0.00555,3.038484,47.26815,0.501452,0.929128,0.018823,2.638915,"0-180","1.2deg/s","1","other",1.2,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"2F1",-0.501422,-0.00555,2.061818,2.23188,-0.32852,0.105456,0.501452,-179.365859,1.691757,0.30818,0.297466,0.256126,"0-180","1.2deg/s","1","other",2.4,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"3F1",-0.32852,0.105456,-0.501422,-0.00555,-0.019836,-0.151831,0.345031,162.203239,0.327287,0.347249,0.620639,0.405898,"0-180","1.2deg/s","1","other",3.6,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"4F1",-0.019836,-0.151831,-0.32852,0.105456,-0.069529,0.244783,0.153121,-97.443095,0.299748,0.331438,0.899503,0.240487,"0-180","1.2deg/s","1","other",4.8,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"5F1",-0.069529,0.244783,-0.019836,-0.151831,0.292739,-0.161676,0.254466,105.856814,0.243769,0.20324,0.475709,0.453213,"0-180","1.2deg/s","1","other",6,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"6F1",0.292739,-0.161676,-0.069529,0.244783,0.201508,0.190694,0.334418,-28.91134,0.26595,0.127118,0.060095,0.611738,"0-180","1.2deg/s","1","other",7.2,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"7F1",0.201508,0.190694,0.292739,-0.161676,-0.205778,0.278731,0.277434,43.420515,0.34044,0.156102,0.240722,0.467798,"0-180","1.2deg/s","1","other",8.4,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"8F1",-0.205778,0.278731,0.201508,0.190694,0.033071,-0.067199,0.346462,126.437256,0.176165,0.130975,0.058579,1.014936,"0-180","1.2deg/s","1","other",9.6,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"9F1",0.033071,-0.067199,-0.205778,0.278731,-0.031771,0.080282,0.074896,-63.796648,0.216401,0.128631,0.845784,0.182253,"0-180","1.2deg/s","1","other",10.8,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"1F2",0.006122,0.002429,0.032322,-0.000649,-0.008881,0.027926,0.006587,21.639312,0.030817,0.023013,0.959985,0.102827,"0-180","1.2deg/s","1","other",36,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"1F1+1F2",-0.008881,0.027926,0.006122,0.002429,-0.000852,0.026541,0.029304,107.642489,0.016571,0.028588,0.602542,0.622123,"0-180","1.2deg/s","1","other",37.2,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"1F1-1F2",0.032322,-0.000649,0.009447,-0.017032,0.006122,0.002429,0.032329,-1.150298,0.013032,0.0219,0.36325,0.540314,"0-180","1.2deg/s","1","other",34.8,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"1F1",2.05182,2.113933,-0.603487,-0.108938,-0.603487,-0.108938,2.945959,45.854237,0.613241,0.87093,0.015279,2.255598,"0-180","1.2deg/s","2","other",1.2,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"2F1",-0.603487,-0.108938,2.05182,2.113933,-0.228925,0.267575,0.613241,-169.7675,1.64905,0.288174,0.14061,0.323316,"0-180","1.2deg/s","2","other",2.4,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"3F1",-0.228925,0.267575,-0.603487,-0.108938,0.082773,-0.128978,0.352141,130.548853,0.383247,0.277098,0.465702,0.329832,"0-180","1.2deg/s","2","other",3.6,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"4F1",0.082773,-0.128978,-0.228925,0.267575,-0.025039,0.578824,0.153254,-57.309162,0.465753,0.300108,0.878808,0.208739,"0-180","1.2deg/s","2","other",4.8,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"5F1",-0.025039,0.578824,0.082773,-0.128978,0.255472,-0.127879,0.579366,92.477011,0.219472,0.270969,0.138342,0.864314,"0-180","1.2deg/s","2","other",6,"mofo-child-tuning","Seisler","f",2760
"20150701_155408",1,"6F1",0.255472,-0.127879,-0.025039,0.578824,0.129898,0.182632,0.285691,-26.590711,0.401741,0.160859,0.24115,0.461516,"0-180","1.2deg/s","2","other",7.2,"mofo-child-tuning","Seisler","f",2760
