"iSess","iCond","Harm","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","Direction","Speed","Channel","ChanGroup","Hz","Study","Operator","Sex","AgeDays"
"20151114_113325",1,"1F1",0.651768,1.415711,0.202135,0.658321,0.202135,0.658321,1.558537,65.279485,0.688655,1.039973,0.357231,1.612149,"0-180","1.2deg/s","1","other",1.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"2F1",0.202135,0.658321,0.651768,1.415711,0.496414,0.768514,0.688655,72.931077,1.236718,0.517648,0.43804,0.390711,"0-180","1.2deg/s","1","other",2.4,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"3F1",0.496414,0.768514,0.202135,0.658321,0.169659,-0.204542,0.914899,57.139934,0.477201,0.500086,0.228531,1.084821,"0-180","1.2deg/s","1","other",3.6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"4F1",0.169659,-0.204542,0.496414,0.768514,0.315314,0.160773,0.265747,-50.325738,0.634418,0.387793,0.794274,0.297196,"0-180","1.2deg/s","1","other",4.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"5F1",0.315314,0.160773,0.169659,-0.204542,0.103975,0.240726,0.353936,27.01632,0.263984,0.284691,0.483387,0.624305,"0-180","1.2deg/s","1","other",6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"6F1",0.103975,0.240726,0.315314,0.160773,-0.226797,0.35963,0.262221,66.639288,0.389554,0.220723,0.513157,0.428489,"0-180","1.2deg/s","1","other",7.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"7F1",-0.226797,0.35963,0.103975,0.240726,-0.230796,0.025147,0.425171,122.237101,0.247191,0.257298,0.292259,0.887744,"0-180","1.2deg/s","1","other",8.4,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"8F1",-0.230796,0.025147,-0.226797,0.35963,0.113363,0.016936,0.232162,173.781729,0.269897,0.218412,0.582808,0.469083,"0-180","1.2deg/s","1","other",9.6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"9F1",0.113363,0.016936,-0.230796,0.025147,-0.127297,0.054647,0.114622,8.497022,0.185346,0.165817,0.79114,0.248216,"0-180","1.2deg/s","1","other",10.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F2",-0.073508,-0.068079,-0.074412,-0.126862,0.084644,-0.000116,0.10019,-137.195889,0.11586,0.044716,0.122822,0.527676,"0-180","1.2deg/s","1","other",36,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1+1F2",0.084644,-0.000116,-0.073508,-0.068079,0.017982,0.115249,0.084644,-0.078523,0.108417,0.043882,0.197824,0.620865,"0-180","1.2deg/s","1","other",37.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1-1F2",-0.074412,-0.126862,-0.036215,0.007675,-0.073508,-0.068079,0.147076,-120.394188,0.068605,0.096775,0.347778,1.143202,"0-180","1.2deg/s","1","other",34.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1",1.00274,-0.820647,0.592945,0.106127,0.592945,0.106127,1.295743,-39.297048,0.602367,0.928051,0.405285,1.03612,"0-180","1.2deg/s","2","other",1.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"2F1",0.592945,0.106127,1.00274,-0.820647,0.291145,0.652615,0.602367,10.147474,1.005178,0.586607,0.603302,0.415813,"0-180","1.2deg/s","2","other",2.4,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"3F1",0.291145,0.652615,0.592945,0.106127,0.148689,-0.174085,0.714613,65.957378,0.415654,0.329623,0.137649,0.781747,"0-180","1.2deg/s","2","other",3.6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"4F1",0.148689,-0.174085,0.291145,0.652615,0.1198,0.042145,0.228941,-49.498757,0.420805,0.253266,0.673507,0.300659,"0-180","1.2deg/s","2","other",4.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"5F1",0.1198,0.042145,0.148689,-0.174085,-0.153858,0.175825,0.126997,19.381838,0.231289,0.177848,0.779049,0.218975,"0-180","1.2deg/s","2","other",6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"6F1",-0.153858,0.175825,0.1198,0.042145,-0.323341,0.101704,0.233638,131.187872,0.232978,0.315136,0.764357,0.483914,"0-180","1.2deg/s","2","other",7.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"7F1",-0.323341,0.101704,-0.153858,0.175825,-0.541861,0.050955,0.338958,162.539546,0.388945,0.283324,0.508607,0.54091,"0-180","1.2deg/s","2","other",8.4,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"8F1",-0.541861,0.050955,-0.323341,0.101704,0.167296,-0.011971,0.544251,174.627837,0.253341,0.259551,0.15364,1.241802,"0-180","1.2deg/s","2","other",9.6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"9F1",0.167296,-0.011971,-0.541861,0.050955,-0.060203,0.200108,0.167723,-4.092819,0.37661,0.134528,0.481513,0.32913,"0-180","1.2deg/s","2","other",10.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F2",-0.083788,-0.021731,-0.011833,-0.034867,0.027542,0.004948,0.08656,-165.460093,0.032402,0.029185,0.036909,0.963087,"0-180","1.2deg/s","2","other",36,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1+1F2",0.027542,0.004948,-0.083788,-0.021731,0.031568,0.029669,0.027983,10.184163,0.064941,0.037582,0.762626,0.28139,"0-180","1.2deg/s","2","other",37.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1-1F2",-0.011833,-0.034867,-0.000416,0.007425,-0.083788,-0.021731,0.03682,-108.746666,0.046999,0.062175,0.841272,0.27506,"0-180","1.2deg/s","2","other",34.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1",0.460779,0.081955,1.101371,-0.067759,1.101371,-0.067759,0.46801,10.085314,1.103454,1.250811,0.932772,0.324398,"0-180","1.2deg/s","3","other",1.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"2F1",1.101371,-0.067759,0.460779,0.081955,0.229318,0.240908,1.103454,-3.520523,0.400306,0.578321,0.203972,0.64382,"0-180","1.2deg/s","3","other",2.4,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"3F1",0.229318,0.240908,1.101371,-0.067759,0.288914,-0.016549,0.332601,46.411928,0.696421,0.364738,0.668981,0.325824,"0-180","1.2deg/s","3","other",3.6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"4F1",0.288914,-0.016549,0.229318,0.240908,-0.022471,0.030511,0.289388,-3.278386,0.185247,0.295474,0.630394,0.338528,"0-180","1.2deg/s","3","other",4.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"5F1",-0.022471,0.030511,0.288914,-0.016549,-0.139525,0.118913,0.037893,126.371771,0.236356,0.183075,0.978845,0.059991,"0-180","1.2deg/s","3","other",6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"6F1",-0.139525,0.118913,-0.022471,0.030511,-0.213202,0.071762,0.183323,139.560038,0.131424,0.413981,0.907323,0.365399,"0-180","1.2deg/s","3","other",7.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"7F1",-0.213202,0.071762,-0.139525,0.118913,-0.579357,0.216452,0.224955,161.397149,0.400897,0.364496,0.82904,0.308043,"0-180","1.2deg/s","3","other",8.4,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"8F1",-0.579357,0.216452,-0.213202,0.071762,0.151217,-0.033817,0.618471,159.513932,0.189954,0.316041,0.189789,1.498431,"0-180","1.2deg/s","3","other",9.6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"9F1",0.151217,-0.033817,-0.579357,0.216452,-0.027793,0.207186,0.154952,-12.605694,0.413757,0.162358,0.6447,0.248516,"0-180","1.2deg/s","3","other",10.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F2",-0.062337,-0.088035,-0.093671,-0.021825,0.024692,0.068263,0.107871,-125.301742,0.084386,0.082042,0.445967,0.663109,"0-180","1.2deg/s","3","other",36,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1+1F2",0.024692,0.068263,-0.062337,-0.088035,0.002391,-0.078023,0.072592,70.114314,0.092965,0.056698,0.463823,0.413266,"0-180","1.2deg/s","3","other",37.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1-1F2",-0.093671,-0.021825,-0.019978,-0.041292,-0.062337,-0.088035,0.09618,-166.884067,0.076871,0.09256,0.596339,0.530139,"0-180","1.2deg/s","3","other",34.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1",-0.566838,-2.791745,1.283658,-1.452058,1.283658,-1.452058,2.848709,-101.477346,1.938105,2.80984,0.61073,1.158157,"0-180","1.2deg/s","4","other",1.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"2F1",1.283658,-1.452058,-0.566838,-2.791745,0.122737,-0.262631,1.938105,-48.522451,1.569302,1.192426,0.303061,0.723074,"0-180","1.2deg/s","4","other",2.4,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"3F1",0.122737,-0.262631,1.283658,-1.452058,0.231641,-0.470908,0.289895,-64.951605,1.231451,0.8306,0.9412,0.173275,"0-180","1.2deg/s","4","other",3.6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"4F1",0.231641,-0.470908,0.122737,-0.262631,-0.31231,-0.28388,0.524797,-63.807244,0.355972,0.6671,0.739544,0.447663,"0-180","1.2deg/s","4","other",4.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"5F1",-0.31231,-0.28388,0.231641,-0.470908,0.012308,-0.403931,0.422049,-137.73012,0.464458,0.508579,0.71547,0.496903,"0-180","1.2deg/s","4","other",6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"6F1",0.012308,-0.403931,-0.31231,-0.28388,0.040781,-0.593798,0.404118,-88.254647,0.508623,0.444278,0.670284,0.551113,"0-180","1.2deg/s","4","other",7.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"7F1",0.040781,-0.593798,0.012308,-0.403931,-0.541246,-0.02139,0.595197,-86.071202,0.472893,0.383512,0.333701,0.761176,"0-180","1.2deg/s","4","other",8.4,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"8F1",-0.541246,-0.02139,0.040781,-0.593798,0.227187,-0.044073,0.541668,-177.736864,0.41331,0.290363,0.216997,0.785084,"0-180","1.2deg/s","4","other",9.6,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"9F1",0.227187,-0.044073,-0.541246,-0.02139,-0.024529,0.056007,0.231423,-10.978715,0.301406,0.248394,0.657684,0.356177,"0-180","1.2deg/s","4","other",10.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F2",-0.031263,-0.074944,-0.000894,-0.093202,-0.029956,-0.075339,0.081204,-112.64327,0.087141,0.124384,0.811065,0.480638,"0-180","1.2deg/s","4","other",36,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1+1F2",-0.029956,-0.075339,-0.031263,-0.074944,-0.012005,-0.06863,0.081076,-111.683866,0.075438,0.089631,0.673163,0.469307,"0-180","1.2deg/s","4","other",37.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1-1F2",-0.000894,-0.093202,-0.041243,-0.056262,-0.031263,-0.074944,0.093206,-90.549865,0.075481,0.060988,0.344021,0.575792,"0-180","1.2deg/s","4","other",34.8,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"1F1",0.046011,1.105281,1.359854,-0.935742,1.359854,-0.935742,1.106239,87.616236,1.650702,1.07512,0.602119,0.496402,"0-180","1.2deg/s","5","other",1.2,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"2F1",1.359854,-0.935742,0.046011,1.105281,-0.079029,0.34961,1.650702,-34.532601,0.732335,0.691804,0.097324,1.035551,"0-180","1.2deg/s","5","other",2.4,"mofo-child-tuning","Seisler","f",2531
"20151114_113325",1,"3F1",-0.079029,0.34961,1.359854,-0.935742,0.268399,0.336482,0.358431,102.737563,1.040559,0.356746,0.615927,0.236616,"0-180","1.2deg/s","5","other",3.6,"mofo-child-tuning","Seisler","f",2531
