"iSess","iCond","Harm","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","Direction","Speed","Channel","ChanGroup","Hz","Study","Operator","Sex","AgeDays"
"20150521_110020",1,"1F1",2.942163,-0.47219,0.603008,-1.014795,0.603008,-1.014795,2.979813,-9.117691,1.180435,1.532173,0.212535,1.239886,"0-180","1.2deg/s","1","other",1.2,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"2F1",0.603008,-1.014795,2.942163,-0.47219,-0.441738,-0.09527,1.180435,-59.280524,1.715854,0.395551,0.050142,0.476795,"0-180","1.2deg/s","1","other",2.4,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"3F1",-0.441738,-0.09527,0.603008,-1.014795,-0.420326,0.285865,0.451894,-167.829363,0.844379,0.374249,0.511877,0.263366,"0-180","1.2deg/s","1","other",3.6,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"4F1",-0.420326,0.285865,-0.441738,-0.09527,-0.402667,-0.160487,0.508324,145.780232,0.442682,0.377862,0.442315,0.477821,"0-180","1.2deg/s","1","other",4.8,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"5F1",-0.402667,-0.160487,-0.420326,0.285865,-0.153439,-0.733909,0.433471,-158.269791,0.62905,0.359315,0.512447,0.455527,"0-180","1.2deg/s","1","other",6,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"6F1",-0.153439,-0.733909,-0.402667,-0.160487,-0.303867,-0.181895,0.749777,-101.808817,0.393809,0.331121,0.137929,0.861473,"0-180","1.2deg/s","1","other",7.2,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"7F1",-0.303867,-0.181895,-0.153439,-0.733909,-0.228513,-0.673279,0.354148,-149.095149,0.730389,0.222745,0.333425,0.382786,"0-180","1.2deg/s","1","other",8.4,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"8F1",-0.228513,-0.673279,-0.303867,-0.181895,-0.01987,-0.081745,0.711001,-108.747408,0.219137,0.233202,0.045774,0.91013,"0-180","1.2deg/s","1","other",9.6,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"9F1",-0.01987,-0.081745,-0.228513,-0.673279,0.090904,-0.218947,0.084125,-103.661958,0.474035,0.308123,0.963581,0.1174,"0-180","1.2deg/s","1","other",10.8,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"1F2",-0.058841,-0.136483,0.023439,-0.038886,0.028366,0.083727,0.148627,-113.321906,0.066903,0.089472,0.305637,1.005336,"0-180","1.2deg/s","1","other",36,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"1F1+1F2",0.028366,0.083727,-0.058841,-0.136483,-0.077,-0.144784,0.088402,71.283805,0.156306,0.058301,0.364044,0.406061,"0-180","1.2deg/s","1","other",37.2,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"1F1-1F2",0.023439,-0.038886,-0.0305,-0.007029,-0.058841,-0.136483,0.045404,-58.920468,0.089963,0.05397,0.71242,0.243707,"0-180","1.2deg/s","1","other",34.8,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"1F1",2.805064,0.767926,0.520953,-0.692158,0.520953,-0.692158,2.90828,15.310401,0.866299,0.993288,0.054297,1.660212,"0-180","1.2deg/s","2","other",1.2,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"2F1",0.520953,-0.692158,2.805064,0.767926,-0.084172,0.505993,0.866299,-53.033027,1.710613,0.500155,0.279759,0.28671,"0-180","1.2deg/s","2","other",2.4,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"3F1",-0.084172,0.505993,0.520953,-0.692158,0.11006,0.076691,0.512946,99.444695,0.500222,0.501215,0.611326,0.369119,"0-180","1.2deg/s","2","other",3.6,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"4F1",0.11006,0.076691,-0.084172,0.505993,-0.325277,-0.420549,0.134144,34.869291,0.522305,0.270541,0.885966,0.097683,"0-180","1.2deg/s","2","other",4.8,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"5F1",-0.325277,-0.420549,0.11006,0.076691,-0.394977,-0.508393,0.531664,-127.720454,0.388969,0.348056,0.359252,0.562719,"0-180","1.2deg/s","2","other",6,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"6F1",-0.394977,-0.508393,-0.325277,-0.420549,-0.100161,-0.155755,0.643793,-127.844057,0.358422,0.316114,0.1881,0.840092,"0-180","1.2deg/s","2","other",7.2,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"7F1",-0.100161,-0.155755,-0.394977,-0.508393,-0.543783,-0.263018,0.185181,-122.743769,0.623923,0.286421,0.815687,0.195327,"0-180","1.2deg/s","2","other",8.4,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"8F1",-0.543783,-0.263018,-0.100161,-0.155755,0.142812,0.020057,0.604052,-154.187763,0.164697,0.235679,0.090913,0.876236,"0-180","1.2deg/s","2","other",9.6,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"9F1",0.142812,0.020057,-0.543783,-0.263018,0.153915,-0.181813,0.144213,7.994542,0.421133,0.43716,0.947389,0.210207,"0-180","1.2deg/s","2","other",10.8,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"1F2",-0.064471,-0.060554,0.252644,-0.198045,-0.015497,-0.112646,0.088449,-136.794548,0.217361,0.10738,0.722079,0.2691,"0-180","1.2deg/s","2","other",36,"mofo-child-tuning","Seisler","m",1974
"20150521_110020",1,"1F1+1F2",-0.015497,-0.112646,-0.064471,-0.060554,0.057835,-0.013592,0.113707,-97.83325,0.07393,0.125204,0.675375,0.51466,"0-180","1.2deg/s","2","other",37.2,"mofo-child-tuning","Seisler","m",1974
