"iSess","iCond","Harm","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","Direction","Speed","Channel","ChanGroup","Hz","Study","Operator","Sex","AgeDays"
"20150810_115431",1,"1F1",-0.175188,0.319149,1.126207,-1.026312,1.126207,-1.026312,0.36407,118.763341,1.523699,0.985721,0.934337,0.208081,"0-180","1.2deg/s","1","other",1.2,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"2F1",1.126207,-1.026312,-0.175188,0.319149,-0.124541,-0.146516,1.523699,-42.342903,0.278183,0.489787,0.022723,1.01713,"0-180","1.2deg/s","1","other",2.4,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"3F1",-0.124541,-0.146516,1.126207,-1.026312,-0.566129,-0.276191,0.192296,-130.365041,1.076803,0.355306,0.86491,0.14388,"0-180","1.2deg/s","1","other",3.6,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"4F1",-0.566129,-0.276191,-0.124541,-0.146516,-0.104439,-0.008228,0.629907,-153.994165,0.148529,0.229732,0.045892,0.830362,"0-180","1.2deg/s","1","other",4.8,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"5F1",-0.104439,-0.008228,-0.566129,-0.276191,0.558914,0.038554,0.104763,-175.495315,0.595074,0.195496,0.867351,0.129073,"0-180","1.2deg/s","1","other",6,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"6F1",0.558914,0.038554,-0.104439,-0.008228,-0.042704,0.081812,0.560242,3.946066,0.098524,0.204569,0.046173,1.36219,"0-180","1.2deg/s","1","other",7.2,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"7F1",-0.042704,0.081812,0.558914,0.038554,0.034127,-0.099524,0.092286,117.563627,0.332727,0.137005,0.799547,0.183504,"0-180","1.2deg/s","1","other",8.4,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"8F1",0.034127,-0.099524,-0.042704,0.081812,0.154301,-0.088132,0.105212,-71.073189,0.134991,0.222508,0.894923,0.323464,"0-180","1.2deg/s","1","other",9.6,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"9F1",0.154301,-0.088132,0.034127,-0.099524,-0.038468,0.00052,0.177696,-29.73378,0.071842,0.127437,0.399525,0.744195,"0-180","1.2deg/s","1","other",10.8,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"1F2",-0.006993,-0.002623,-0.007976,-0.038921,0.005105,-0.016676,0.007468,-159.440589,0.028585,0.018931,0.925481,0.133466,"0-180","1.2deg/s","1","other",36,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"1F1+1F2",0.005105,-0.016676,-0.006993,-0.002623,-0.010434,0.000909,0.01744,-72.979998,0.008971,0.025751,0.797631,0.35483,"0-180","1.2deg/s","1","other",37.2,"mofo-child-tuning","Seisler","f",2795
"20150810_115431",1,"1F1-1F2",-0.007976,-0.038921,-0.027631,0.006244,-0.006993,-0.002623,0.03973,-101.581772,0.017898,0.021254,0.205925,0.830578,"0-180","1.2deg/s","1","other",34.8,"mofo-child-tuning","Seisler","f",2795
