"iSess","iCond","Harm","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","Direction","Speed","Channel","ChanGroup","Hz","Study","Operator","Sex","AgeDays"
"20141210_140637",1,"1F1",0.468917,-1.346929,1.76897,-1.084918,1.76897,-1.084918,1.426219,-70.805062,2.075163,0.750608,0.225415,0.545601,"0-180","1.2deg/s","1","other",1.2,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"2F1",1.76897,-1.084918,0.468917,-1.346929,0.822349,0.202862,2.075163,-31.520982,1.13661,0.902419,0.131379,0.978576,"0-180","1.2deg/s","1","other",2.4,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"3F1",0.822349,0.202862,1.76897,-1.084918,-0.097094,-0.06922,0.847001,13.85739,1.097202,0.463814,0.248138,0.519408,"0-180","1.2deg/s","1","other",3.6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"4F1",-0.097094,-0.06922,0.822349,0.202862,0.620141,0.166039,0.119241,-144.514254,0.744493,0.269828,0.908035,0.125755,"0-180","1.2deg/s","1","other",4.8,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"5F1",0.620141,0.166039,-0.097094,-0.06922,0.140419,0.230006,0.641984,14.988989,0.194362,0.338889,0.227104,1.087724,"0-180","1.2deg/s","1","other",6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"6F1",0.140419,0.230006,0.620141,0.166039,-0.269833,-0.104498,0.269482,58.595876,0.465672,0.201959,0.447636,0.353112,"0-180","1.2deg/s","1","other",7.2,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"7F1",-0.269833,-0.104498,0.140419,0.230006,-0.263419,0.264529,0.289361,-158.830084,0.321399,0.135905,0.165999,0.499533,"0-180","1.2deg/s","1","other",8.4,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"8F1",-0.263419,0.264529,-0.269833,-0.104498,0.115186,0.124164,0.373316,134.879628,0.229363,0.221116,0.295506,0.566998,"0-180","1.2deg/s","1","other",9.6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"9F1",0.115186,0.124164,-0.263419,0.264529,0.16713,0.05409,0.169365,47.148303,0.274491,0.274328,0.830125,0.295495,"0-180","1.2deg/s","1","other",10.8,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F2",0.004904,-0.008069,0.008664,-0.033102,0.065899,-0.027094,0.009443,-58.711375,0.052734,0.024784,0.930601,0.081443,"0-180","1.2deg/s","1","other",36,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F1+1F2",0.065899,-0.027094,0.004904,-0.008069,0.053885,0.000158,0.071251,-22.349526,0.031664,0.031675,0.140792,0.713441,"0-180","1.2deg/s","1","other",37.2,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F1-1F2",0.008664,-0.033102,0.03037,-0.101408,0.004904,-0.008069,0.034218,-75.332508,0.05765,0.056746,0.837116,0.314562,"0-180","1.2deg/s","1","other",34.8,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F1",-0.102068,-0.837565,1.82016,-1.122076,1.82016,-1.122076,0.843761,-96.947995,2.138232,1.325481,0.82066,0.285513,"0-180","1.2deg/s","2","other",1.2,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"2F1",1.82016,-1.122076,-0.102068,-0.837565,0.980337,0.224579,2.138232,-31.652626,0.924746,1.148691,0.237063,0.71293,"0-180","1.2deg/s","2","other",2.4,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"3F1",0.980337,0.224579,1.82016,-1.122076,0.077199,-0.320621,1.005731,12.902865,1.234008,0.580678,0.279783,0.500711,"0-180","1.2deg/s","2","other",3.6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"4F1",0.077199,-0.320621,0.980337,0.224579,0.636537,0.122539,0.329784,-76.461964,0.826978,0.303473,0.576522,0.287231,"0-180","1.2deg/s","2","other",4.8,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"5F1",0.636537,0.122539,0.077199,-0.320621,0.029991,0.286603,0.648225,10.896649,0.308976,0.397388,0.317096,0.746887,"0-180","1.2deg/s","2","other",6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"6F1",0.029991,0.286603,0.636537,0.122539,-0.550993,-0.259346,0.288168,84.026073,0.628601,0.259155,0.562784,0.305939,"0-180","1.2deg/s","2","other",7.2,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"7F1",-0.550993,-0.259346,0.029991,0.286603,-0.47837,-0.016133,0.608977,-154.794197,0.383405,0.213385,0.06029,0.793597,"0-180","1.2deg/s","2","other",8.4,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"8F1",-0.47837,-0.016133,-0.550993,-0.259346,-0.073115,0.00834,0.478642,-178.068452,0.341283,0.210032,0.135187,0.623704,"0-180","1.2deg/s","2","other",9.6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"9F1",-0.073115,0.00834,-0.47837,-0.016133,0.167567,-0.10274,0.073589,173.49258,0.337599,0.272718,0.964407,0.096872,"0-180","1.2deg/s","2","other",10.8,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F2",-0.039605,-0.033764,-0.035375,0.000579,0.038801,-0.003962,0.052044,-139.551831,0.037191,0.042153,0.497755,0.372758,"0-180","1.2deg/s","2","other",36,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F1+1F2",0.038801,-0.003962,-0.039605,-0.033764,0.050251,-0.031816,0.039003,-5.830719,0.05576,0.024923,0.343605,0.292829,"0-180","1.2deg/s","2","other",37.2,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F1-1F2",-0.035375,0.000579,-0.027806,-0.158966,-0.039605,-0.033764,0.03538,179.063035,0.106712,0.072924,0.890483,0.207713,"0-180","1.2deg/s","2","other",34.8,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F1",0.926092,0.325848,1.551417,-0.92943,1.551417,-0.92943,0.981745,19.384563,1.808518,0.67809,0.394218,0.417463,"0-180","1.2deg/s","3","other",1.2,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"2F1",1.551417,-0.92943,0.926092,0.325848,1.242735,0.131281,1.808518,-30.925181,1.115698,0.800712,0.139022,0.830263,"0-180","1.2deg/s","3","other",2.4,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"3F1",1.242735,0.131281,1.551417,-0.92943,-0.403888,-0.012398,1.24965,6.030311,1.106298,0.37965,0.032549,0.765476,"0-180","1.2deg/s","3","other",3.6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"4F1",-0.403888,-0.012398,1.242735,0.131281,0.172968,0.183927,0.404078,-178.241755,0.751066,0.502961,0.733178,0.377563,"0-180","1.2deg/s","3","other",4.8,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"5F1",0.172968,0.183927,-0.403888,-0.012398,0.094889,0.088095,0.252482,46.758762,0.266778,0.346291,0.773107,0.313522,"0-180","1.2deg/s","3","other",6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"6F1",0.094889,0.088095,0.172968,0.183927,-0.218151,0.053865,0.129478,42.873755,0.238592,0.228147,0.85395,0.185952,"0-180","1.2deg/s","3","other",7.2,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"7F1",-0.218151,0.053865,0.094889,0.088095,-0.223063,0.099307,0.224703,166.130055,0.186824,0.225583,0.62646,0.340811,"0-180","1.2deg/s","3","other",8.4,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"8F1",-0.223063,0.099307,-0.218151,0.053865,-0.057276,-0.220203,0.24417,156.001491,0.226116,0.328464,0.76554,0.352765,"0-180","1.2deg/s","3","other",9.6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"9F1",-0.057276,-0.220203,-0.223063,0.099307,0.173406,0.034928,0.22753,-104.580014,0.21053,0.197292,0.540542,0.439394,"0-180","1.2deg/s","3","other",10.8,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F2",-0.025474,-0.086443,0.057708,-0.068506,0.082396,-0.097586,0.090118,-106.419698,0.108646,0.072539,0.493795,0.614078,"0-180","1.2deg/s","3","other",36,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F1+1F2",0.082396,-0.097586,-0.025474,-0.086443,0.054669,-0.022418,0.127719,-49.824339,0.074602,0.057637,0.147438,0.954165,"0-180","1.2deg/s","3","other",37.2,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F1-1F2",0.057708,-0.068506,0.029159,-0.066542,-0.025474,-0.086443,0.089573,-49.890084,0.081384,0.071811,0.491228,0.623762,"0-180","1.2deg/s","3","other",34.8,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"1F1",0.765757,0.086255,1.463419,-0.823132,1.463419,-0.823132,0.7706,6.426733,1.67903,0.815044,0.654619,0.36929,"0-180","1.2deg/s","4","other",1.2,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"2F1",1.463419,-0.823132,0.765757,0.086255,0.913202,0.286485,1.67903,-29.356527,0.863842,0.708019,0.118897,0.987676,"0-180","1.2deg/s","4","other",2.4,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"3F1",0.913202,0.286485,1.463419,-0.823132,-0.382242,-0.132586,0.957085,17.417402,1.041807,0.314161,0.045928,0.632055,"0-180","1.2deg/s","4","other",3.6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"4F1",-0.382242,-0.132586,0.913202,0.286485,-0.052603,0.219588,0.404584,-160.870198,0.591443,0.484625,0.715964,0.415402,"0-180","1.2deg/s","4","other",4.8,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"5F1",-0.052603,0.219588,-0.382242,-0.132586,0.08205,-0.046705,0.225801,103.471576,0.249498,0.291352,0.748577,0.278187,"0-180","1.2deg/s","4","other",6,"mofo-child-tuning","Seisler","m",2830
"20141210_140637",1,"6F1",0.08205,-0.046705,-0.052603,0.219588,-0.048344,0.078817,0.094412,-29.649418,0.159132,0.222653,0.914932,0.141873,"0-180","1.2deg/s","4","other",7.2,"mofo-child-tuning","Seisler","m",2830
