"iSess","iCond","Harm","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","Direction","Speed","Channel","ChanGroup","Hz","Study","Operator","Sex","AgeDays"
"20150915_172519",1,"1F1",0.827606,0.084628,-0.355319,-0.267169,-0.355319,-0.267169,0.831922,5.838538,0.444557,0.732506,0.545201,0.83113,"0-180","1.2deg/s","1","other",1.2,"mofo-child-tuning","Seisler","m",3011
"20150915_172519",1,"2F1",-0.355319,-0.267169,0.827606,0.084628,0.481551,-0.163398,0.444557,-143.06003,0.67022,0.527281,0.709386,0.256973,"0-180","1.2deg/s","1","other",2.4,"mofo-child-tuning","Seisler","m",3011
"20150915_172519",1,"3F1",0.481551,-0.163398,-0.355319,-0.267169,-0.066622,0.269121,0.508518,-18.742963,0.3609,0.541382,0.655242,0.60791,"0-180","1.2deg/s","1","other",3.6,"mofo-child-tuning","Seisler","m",3011
"20150915_172519",1,"4F1",-0.066622,0.269121,0.481551,-0.163398,-0.308236,-0.474604,0.277244,103.904199,0.537216,0.288793,0.643524,0.276589,"0-180","1.2deg/s","1","other",4.8,"mofo-child-tuning","Seisler","m",3011
"20150915_172519",1,"5F1",-0.308236,-0.474604,-0.066622,0.269121,-0.264703,-0.081558,0.565914,-123.002064,0.277114,0.296463,0.211503,0.853957,"0-180","1.2deg/s","1","other",6,"mofo-child-tuning","Seisler","m",3011
"20150915_172519",1,"6F1",-0.264703,-0.081558,-0.308236,-0.474604,0.130744,0.230362,0.276983,-162.875365,0.415396,0.172109,0.316134,0.482908,"0-180","1.2deg/s","1","other",7.2,"mofo-child-tuning","Seisler","m",3011
"20150915_172519",1,"7F1",0.130744,0.230362,-0.264703,-0.081558,-0.139191,0.173934,0.264879,60.422452,0.249877,0.186723,0.399819,0.511033,"0-180","1.2deg/s","1","other",8.4,"mofo-child-tuning","Seisler","m",3011
"20150915_172519",1,"8F1",-0.139191,0.173934,0.130744,0.230362,0.156236,0.066675,0.222772,128.668728,0.217373,0.164369,0.430344,0.490287,"0-180","1.2deg/s","1","other",9.6,"mofo-child-tuning","Seisler","m",3011
"20150915_172519",1,"9F1",0.156236,0.066675,-0.139191,0.173934,0.071548,0.048274,0.169868,23.110712,0.154541,0.131548,0.462508,0.532046,"0-180","1.2deg/s","1","other",10.8,"mofo-child-tuning","Seisler","m",3011
"20150915_172519",1,"1F2",-0.006017,0.047788,-0.021272,0.024415,-0.000522,-0.00338,0.048165,97.175967,0.017901,0.028572,0.286331,1.189171,"0-180","1.2deg/s","1","other",36,"mofo-child-tuning","Seisler","m",3011
