"iSess","iCond","Harm","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","Direction","Speed","Channel","ChanGroup","Hz","Study","Operator","Sex","AgeDays"
"20150605_114723",1,"1F1",1.201312,-0.123382,1.672186,0.685555,1.672186,0.685555,1.207632,-5.864049,1.807261,1.116595,0.579346,0.566388,"0-180","1.2deg/s","1","other",1.2,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"2F1",1.672186,0.685555,1.201312,-0.123382,0.318136,0.633422,1.807261,22.292421,0.958229,0.683739,0.0812,0.86136,"0-180","1.2deg/s","1","other",2.4,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"3F1",0.318136,0.633422,1.672186,0.685555,-0.426719,1.714963,0.708826,63.331944,1.787258,0.561358,0.483378,0.356985,"0-180","1.2deg/s","1","other",3.6,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"4F1",-0.426719,1.714963,0.318136,0.633422,-0.515166,0.271361,1.767254,103.97264,0.645546,0.415762,0.00887,1.799799,"0-180","1.2deg/s","1","other",4.8,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"5F1",-0.515166,0.271361,-0.426719,1.714963,0.048805,0.225009,0.582265,152.222211,0.998748,0.410491,0.407634,0.431135,"0-180","1.2deg/s","1","other",6,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"6F1",0.048805,0.225009,-0.515166,0.271361,-0.059108,0.932291,0.230241,77.761887,0.758214,0.312387,0.768905,0.240064,"0-180","1.2deg/s","1","other",7.2,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"7F1",-0.059108,0.932291,0.048805,0.225009,0.367762,0.333961,0.934163,93.627741,0.363505,0.391085,0.116082,0.957743,"0-180","1.2deg/s","1","other",8.4,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"8F1",0.367762,0.333961,-0.059108,0.932291,0.436318,-0.224459,0.496768,42.242316,0.712415,0.436466,0.548638,0.510469,"0-180","1.2deg/s","1","other",9.6,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"9F1",0.436318,-0.224459,0.367762,0.333961,0.245819,-0.42155,0.490668,-27.223088,0.492378,0.270771,0.252665,0.560023,"0-180","1.2deg/s","1","other",10.8,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"1F2",-0.012231,-0.001354,0.066314,0.13026,0.003316,0.025485,0.012306,-173.683235,0.085934,0.040014,0.954079,0.089022,"0-180","1.2deg/s","1","other",36,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"1F1+1F2",0.003316,0.025485,-0.012231,-0.001354,-0.016889,0.024463,0.0257,82.586761,0.021016,0.055904,0.90096,0.299249,"0-180","1.2deg/s","1","other",37.2,"mofo-child-tuning","Seisler","m",2531
"20150605_114723",1,"1F1-1F2",0.066314,0.13026,-0.015883,-0.041637,-0.012231,-0.001354,0.146169,63.019762,0.028434,0.030058,0.004083,1.580968,"0-180","1.2deg/s","1","other",34.8,"mofo-child-tuning","Seisler","m",2531
