"iSess","iCond","Harm","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","Direction","Speed","Channel","ChanGroup","Hz","Study","Operator","Sex","AgeDays"
"20151207_184752",1,"1F1",2.036031,1.420049,0.661231,-1.443169,0.661231,-1.443169,2.48233,34.894203,1.587439,1.22714,0.191591,1.085447,"0-180","1.2deg/s","1","other",1.2,"mofo-child-tuning","Seisler","m",2085
"20151207_184752",1,"2F1",0.661231,-1.443169,2.036031,1.420049,-0.246684,0.44944,1.587439,-65.383704,1.497509,0.744309,0.165183,0.733491,"0-180","1.2deg/s","1","other",2.4,"mofo-child-tuning","Seisler","m",2085
"20151207_184752",1,"3F1",-0.246684,0.44944,0.661231,-1.443169,-0.244051,-0.620074,0.512689,118.761036,1.126906,0.571676,0.681686,0.289124,"0-180","1.2deg/s","1","other",3.6,"mofo-child-tuning","Seisler","m",2085
"20151207_184752",1,"4F1",-0.244051,-0.620074,-0.246684,0.44944,0.181352,0.223148,0.666373,-111.483814,0.400118,0.301564,0.1487,0.864622,"0-180","1.2deg/s","1","other",4.8,"mofo-child-tuning","Seisler","m",2085
"20151207_184752",1,"5F1",0.181352,0.223148,-0.244051,-0.620074,0.104614,0.257414,0.287548,50.899402,0.472116,0.246599,0.533723,0.296479,"0-180","1.2deg/s","1","other",6,"mofo-child-tuning","Seisler","m",2085
"20151207_184752",1,"6F1",0.104614,0.257414,0.181352,0.223148,0.087998,-0.052542,0.27786,67.883075,0.195019,0.224433,0.496002,0.467675,"0-180","1.2deg/s","1","other",7.2,"mofo-child-tuning","Seisler","m",2085
"20151207_184752",1,"7F1",0.087998,-0.052542,0.104614,0.257414,0.148043,0.137772,0.102491,-30.840474,0.240046,0.342517,0.956456,0.167988,"0-180","1.2deg/s","1","other",8.4,"mofo-child-tuning","Seisler","m",2085
"20151207_184752",1,"8F1",0.148043,0.137772,0.087998,-0.052542,0.048703,-0.137657,0.202233,42.941946,0.124255,0.229441,0.690235,0.394537,"0-180","1.2deg/s","1","other",9.6,"mofo-child-tuning","Seisler","m",2085
"20151207_184752",1,"9F1",0.048703,-0.137657,0.148043,0.137772,0.096622,0.013455,0.146019,-70.5163,0.149894,0.181335,0.732174,0.362799,"0-180","1.2deg/s","1","other",10.8,"mofo-child-tuning","Seisler","m",2085
"20151207_184752",1,"1F2",0.057517,0.079222,-0.056916,0.01625,-0.043791,-0.026374,0.097899,54.019531,0.055155,0.058454,0.300512,1.054369,"0-180","1.2deg/s","1","other",36,"mofo-child-tuning","Seisler","m",2085
