"iSess","iCond","Harm","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","Direction","Speed","Channel","ChanGroup","Hz","Study","Operator","Sex","AgeDays"
"20150910_111348",1,"1F1",-0.916633,4.729531,0.19511,0.25353,0.19511,0.25353,4.817538,100.968543,0.319915,1.611523,0.064817,3.019066,"0-180","1.2deg/s","1","other",1.2,"mofo-child-tuning","Seisler","m",1605
"20150910_111348",1,"2F1",0.19511,0.25353,-0.916633,4.729531,0.188087,0.049725,0.319915,52.419131,2.506044,0.918849,0.941758,0.090735,"0-180","1.2deg/s","1","other",2.4,"mofo-child-tuning","Seisler","m",1605
"20150910_111348",1,"3F1",0.188087,0.049725,0.19511,0.25353,-0.371118,-0.393589,0.194549,14.808486,0.430439,0.769349,0.968697,0.137038,"0-180","1.2deg/s","1","other",3.6,"mofo-child-tuning","Seisler","m",1605
"20150910_111348",1,"4F1",-0.371118,-0.393589,0.188087,0.049725,-0.494665,-0.090848,0.540963,-133.316806,0.348743,0.500915,0.586908,0.362393,"0-180","1.2deg/s","1","other",4.8,"mofo-child-tuning","Seisler","m",1605
"20150910_111348",1,"5F1",-0.494665,-0.090848,-0.371118,-0.393589,0.819842,0.056699,0.502938,-169.593312,0.681382,0.330741,0.376082,0.404179,"0-180","1.2deg/s","1","other",6,"mofo-child-tuning","Seisler","m",1605
"20150910_111348",1,"6F1",0.819842,0.056699,-0.494665,-0.090848,-0.395726,0.301723,0.821801,3.956211,0.500284,0.34801,0.139232,0.970294,"0-180","1.2deg/s","1","other",7.2,"mofo-child-tuning","Seisler","m",1605
"20150910_111348",1,"7F1",-0.395726,0.301723,0.819842,0.056699,-0.428514,0.502451,0.49763,142.676172,0.741083,0.189639,0.100952,0.453285,"0-180","1.2deg/s","1","other",8.4,"mofo-child-tuning","Seisler","m",1605
"20150910_111348",1,"8F1",-0.428514,0.502451,-0.395726,0.301723,0.455443,0.138979,0.660365,130.459107,0.486903,0.279751,0.139383,0.968711,"0-180","1.2deg/s","1","other",9.6,"mofo-child-tuning","Seisler","m",1605
"20150910_111348",1,"9F1",0.455443,0.138979,-0.428514,0.502451,-0.006239,0.252069,0.476176,16.969617,0.456256,0.273839,0.293964,0.686613,"0-180","1.2deg/s","1","other",10.8,"mofo-child-tuning","Seisler","m",1605
"20150910_111348",1,"1F2",-0.079641,0.027698,0.046581,0.032324,0.027721,0.04588,0.08432,160.82297,0.055151,0.062562,0.452288,0.669767,"0-180","1.2deg/s","1","other",36,"mofo-child-tuning","Seisler","m",1605
