"iSess","iCond","Harm","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","Direction","Speed","Channel","ChanGroup","Hz","Study","Operator","Sex","AgeDays"
"20151114_113425",1,"1F1",-0.387719,1.18797,-0.365558,-1.194271,-0.365558,-1.194271,1.24964,108.075197,1.248966,1.069579,0.523922,0.735702,"0-180","1.2deg/s","1","other",1.2,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"2F1",-0.365558,-1.194271,-0.387719,1.18797,0.694,-0.463776,1.248966,-107.018976,1.04217,0.508104,0.086566,0.554014,"0-180","1.2deg/s","1","other",2.4,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"3F1",0.694,-0.463776,-0.365558,-1.194271,-0.124174,0.272702,0.8347,-33.753416,0.774304,0.399241,0.155103,0.650066,"0-180","1.2deg/s","1","other",3.6,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"4F1",-0.124174,0.272702,0.694,-0.463776,-0.090843,0.06471,0.299642,114.482032,0.473117,0.169067,0.247819,0.307459,"0-180","1.2deg/s","1","other",4.8,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"5F1",-0.090843,0.06471,-0.124174,0.272702,0.233383,0.311281,0.111534,144.536665,0.344349,0.144602,0.748019,0.134383,"0-180","1.2deg/s","1","other",6,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"6F1",0.233383,0.311281,-0.090843,0.06471,0.082812,0.120417,0.389055,53.139256,0.128839,0.317755,0.493463,0.772181,"0-180","1.2deg/s","1","other",7.2,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"7F1",0.082812,0.120417,0.233383,0.311281,-0.050913,-0.006481,0.146144,55.483383,0.22019,0.196809,0.763719,0.229128,"0-180","1.2deg/s","1","other",8.4,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"8F1",-0.050913,-0.006481,0.082812,0.120417,-0.107256,0.082093,0.051324,-172.745061,0.140605,0.305697,0.986021,0.097446,"0-180","1.2deg/s","1","other",9.6,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"9F1",-0.107256,0.082093,-0.050913,-0.006481,0.07405,-0.068519,0.135067,142.569774,0.076106,0.190712,0.782164,0.331831,"0-180","1.2deg/s","1","other",10.8,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"1F2",0.000803,-0.037654,0.137636,0.033341,-0.052101,-0.073732,0.037663,-88.778781,0.115949,0.090398,0.91744,0.211333,"0-180","1.2deg/s","1","other",36,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"1F1+1F2",-0.052101,-0.073732,0.000803,-0.037654,-0.06552,-0.048784,0.090282,-125.246252,0.059675,0.059012,0.343313,0.546037,"0-180","1.2deg/s","1","other",37.2,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"1F1-1F2",0.137636,0.033341,0.007072,-0.028855,0.000803,-0.037654,0.141616,13.616963,0.033686,0.077696,0.230757,0.905473,"0-180","1.2deg/s","1","other",34.8,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"1F1",-1.57458,1.192601,0.387871,-0.911174,0.387871,-0.911174,1.975246,142.859395,0.990294,1.010825,0.19059,1.491139,"0-180","1.2deg/s","2","other",1.2,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"2F1",0.387871,-0.911174,-1.57458,1.192601,0.641514,-0.013224,0.990294,-66.941386,1.308448,0.320625,0.029899,0.540186,"0-180","1.2deg/s","2","other",2.4,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"3F1",0.641514,-0.013224,0.387871,-0.911174,-0.251801,0.255777,0.64165,-1.18094,0.674608,0.300153,0.144265,0.637032,"0-180","1.2deg/s","2","other",3.6,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"4F1",-0.251801,0.255777,0.641514,-0.013224,-0.141235,0.141676,0.358923,134.551215,0.420849,0.131113,0.054411,0.478368,"0-180","1.2deg/s","2","other",4.8,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"5F1",-0.141235,0.141676,-0.251801,0.255777,-0.019467,0.006379,0.200048,134.910623,0.189704,0.183203,0.566439,0.285728,"0-180","1.2deg/s","2","other",6,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"6F1",-0.019467,0.006379,-0.141235,0.141676,0.162424,0.257762,0.020486,161.856855,0.252358,0.37607,0.998518,0.038209,"0-180","1.2deg/s","2","other",7.2,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"7F1",0.162424,0.257762,-0.019467,0.006379,-0.193298,-0.020735,0.304668,57.783702,0.107446,0.226731,0.43127,0.493806,"0-180","1.2deg/s","2","other",8.4,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"8F1",-0.193298,-0.020735,0.162424,0.257762,0.004909,0.077498,0.194407,-173.877279,0.191161,0.335846,0.847689,0.381141,"0-180","1.2deg/s","2","other",9.6,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"9F1",0.004909,0.077498,-0.193298,-0.020735,-0.135724,-0.001859,0.077654,86.375652,0.165072,0.149808,0.875584,0.186738,"0-180","1.2deg/s","2","other",10.8,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"1F2",0.092861,0.049377,0.035154,-0.017697,-0.047469,-0.042125,0.105173,28.00104,0.051411,0.049752,0.149669,0.940947,"0-180","1.2deg/s","2","other",36,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"1F1+1F2",-0.047469,-0.042125,0.092861,0.049377,0.048771,-0.098033,0.063465,-138.413757,0.107334,0.050982,0.482525,0.406096,"0-180","1.2deg/s","2","other",37.2,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"1F1-1F2",0.035154,-0.017697,0.0312,-0.001469,0.092861,0.049377,0.039357,-26.721714,0.068204,0.045723,0.698039,0.266627,"0-180","1.2deg/s","2","other",34.8,"mofo-child-tuning","Seisler","m",1801
"20151114_113425",1,"1F1",-1.244168,1.311861,0.502174,-0.576916,0.502174,-0.576916,1.808019,133.482945,0.76486,0.888697,0.168975,1.504176,"0-180","1.2deg/s","3","other",1.2,"mofo-child-tuning","Seisler","m",1801
